title,description,reward,participants,start_date,end_date
 Minimally Invasive Methods for Sampling Microbiome from Hair Follicles," The importance of disease-associated microorganism in skin health has long been reported and there is a growing interest in performing metagenomics studies to further the knowledge in this field. Reliable and reproducible non-invasive methods have been developed to collect surface skin microbiome. However, analyses of non-superficial layers microbiome (i.e. hair follicle, sebaceous gland) has been slowed down by the absence of a reliable and reproducible noninvasive (or, at least, minimally invasive) sampling method to collect samples of biological material. ","$15,000 USD",151,Sep 15 2017,Under Eval
""," Nearly 3 million people in the United States and 65 million people worldwide have epilepsy, a neurological condition which affects the nervous system and causes seizures. One in 26 people will develop epilepsy at some point in their lifetime, with 150,000 new cases annually in the United States. Nearly 80% of the people with epilepsy live in low- and middle-income countries and three-quarters of these individuals do not get the treatment they need.","$1,000,000 USD",239,Aug 08 2016,Oct 10 2020 23:59 EDT
 Sign On For Literacy," Acquisition of a first language is essential for early childhood development and a building block for learning to read. Literacy is linked to all development goals contributing to psycho-social health, employment opportunities, economic growth, and breaking the cycle of poverty. ","$500,000 USD",Nov 08 2017,"",Feb 16 2018 23:59 EST
 Botnar Child Road Safety Challenge," The Botnar Child Road Safety Challenge is seeking proposals from consortiums representing partners from government, civil society and the private sector to address road safety problems which impact children in India, Mexico, Romania, South Africa, Tunisia, and Vietnam. ",varies,Jun 07 2017,"",Under Eval
 Long-Term Corrosion Protection of Existing Hydraulic Steel Structures – Stage 1, How can we protect steel structures from corrosion in water for fifty or more years without significant maintenance or replacement of the protection method?,"$75,000 USD",169,Jun 06 2017,Under Eval
GC3 Challenge: Developing New Preservatives for Personal Care & Household Products,"Preservatives are substances that are added to products to prevent them from spoiling. These chemicals work by retarding microbial growth and preventing product degradation. In addition to being used in foods, preservatives are added to household and personal care products. Due to concerns about the safety of some preservatives that have been in wide use, and the impact of repeated contact with these chemicals on human health, the Seekers desire new and effective preservatives or preservative boosters with improved environmental health and safety profiles for use in personal care and household products.","$175,000 USD",208,Apr 24 2017,Under Eval
 Wildland Fire Sensors," The solution is a field-ready prototype system that includes one central data receiving unit and at least two sensor nodes measuring fine particulate matter (PM2.5), carbon monoxide (CO), ozone (O3), and carbon dioxide (CO2) that communicates data wirelessly and measures a wide dynamic range of concentration levels expected during wildland fires. The prototype system should be accurate, lightweight, and easy to operate, enabling first responders, states and nearby communities to easily measure wildland fire smoke exposure. In addition to the potential award, all Solvers providing prototypes will directly receive information on their system’s laboratory test results as well as qualitative feedback by air monitoring experts. If the system proves to be reliable and useful, deployment of a larger-scale sensor network is anticipated as part of follow-up projects measuring smoke impacts during wild and prescribed fires. This is a Reduction-to-Practice Challenge that requires delivery of a written preview of the solution, followed by a prototype system with supporting documentation.","$60,000 USD",352,Apr 06 2017,Under Eval
Non-Animal Assay to Predict Mammalian Developmental Toxicity,"The Seeker, a leading global research & development company, is seeking a partner to engage in a close partnership aimed at developing a battery of several possibly successive non-animal based assays. The goal is to accelerate the establishment of a developmental toxicity screening cascade for candidate chemicals while maintaining acceptable reliability and good predictability compared to results obtained in rodent and non-rodent models.",varies,100,Nov 02 2017,Under Eval
 Colorado River Basin Data Visualization Challenge," The Bureau of Reclamation (Reclamation), the Seeker for this Challenge, plays a significant role in managing the Colorado River.  Reclamation relies on a broad range of Colorado River Basin (CRB) data to support short-term water management and long-term planning, including data on historical, current, and projected weather and climate conditions, reservoir storage and releases, streamflows, and diversions.  Reclamation is currently working to make CRB data more easily accessible to both Reclamation staff and non-Reclamation users such as other Federal, State, and local agencies, water users, recreationists, researchers, and other stakeholders","$60,000 USD",254,Sep 07 2017,Under Eval
GC3 Challenge: Developing New Preservatives for Personal Care & Household Products,"Preservatives are substances that are added to products to prevent them from spoiling. These chemicals work by retarding microbial growth and preventing product degradation. In addition to being used in foods, preservatives are added to household and personal care products. Due to concerns about the safety of some preservatives that have been in wide use, and the impact of repeated contact with these chemicals on human health, the Seekers desire new and effective preservatives or preservative boosters with improved environmental health and safety profiles for use in personal care and household products.","$175,000 USD",208,Apr 24 2017,Under Eval
 Wildland Fire Sensors," The solution is a field-ready prototype system that includes one central data receiving unit and at least two sensor nodes measuring fine particulate matter (PM2.5), carbon monoxide (CO), ozone (O3), and carbon dioxide (CO2) that communicates data wirelessly and measures a wide dynamic range of concentration levels expected during wildland fires. The prototype system should be accurate, lightweight, and easy to operate, enabling first responders, states and nearby communities to easily measure wildland fire smoke exposure. In addition to the potential award, all Solvers providing prototypes will directly receive information on their system’s laboratory test results as well as qualitative feedback by air monitoring experts. If the system proves to be reliable and useful, deployment of a larger-scale sensor network is anticipated as part of follow-up projects measuring smoke impacts during wild and prescribed fires. This is a Reduction-to-Practice Challenge that requires delivery of a written preview of the solution, followed by a prototype system with supporting documentation.","$60,000 USD",352,Apr 06 2017,Under Eval
 Sign On For Literacy," Acquisition of a first language is essential for early childhood development and a building block for learning to read. Literacy is linked to all development goals contributing to psycho-social health, employment opportunities, economic growth, and breaking the cycle of poverty. ","$500,000 USD",Nov 08 2017,"",Feb 16 2018 23:59 EST
