title,description,collected,goal,backers,time_lapse,query_date
HURRICANE MARIA RELIEF and GIVING SOLAR LIGHT TO PUERTO RICO,"","$144,051","$500,000",1,829months,2018-02-16
Joey and Anthony senior project soccer tournament,"",$10,$300,1,4days,2018-02-16
Surgical Mission to Bangladesh ,"All throughout my training I had dreamed of going on a medical mission. I suppose I wanted to feel like I was making a difference. That dream finally became a reality in 2015. That was the year that I had the fortune to cross paths with a trauma surgeon who I work with and who is also the founder of the International Surgical Health Initiative. That mission was truly a wonderful experience where I got to go to Africa for the first time, meet the generous people of Ghana, and practice my skill in providing them with the much needed surgical care. Since then I have gone with ISHI to Peru and this year am getting involved on the mission to Bangladesh. Not only is Bangladesh the third least developed country in the world, according to the UN, but it now has also been hit with a refugee crisis as a result of the Rohingya persecution in Myanmar. Needless to say medical care is severely lacking and we hope to be able to contribute to the ongoing humanitarian effort by operating for one week in the Chittagong region. Hence, please consider making a contribution to this fantastic organization which has already gone on numerous missions around the world and will continue providing medical relief to some of the neediest people on the planet.","$2,001","$2,000",17,26days,2018-02-16
"Live From Babylon 2018 — CODE Legal Aid, Inc.","Each year, the Chaldean American Student Association at the University of Michigan invites our fellow CASA chapters to visit us in Ann Arbor for our annual charity event, Live From Babylon, featuring music, dancing, and other cultural activities to benefit a charity in our community. This year, our event will take place on Friday, March 9th, 2018 at Cantina in Ann Arbor. The organization we have chosen to donate the proceeds of our event to is CODE Legal Aid, a non-profit organization that is dedicated to providing high quality legal advocacy and assistance to those in need, the majority of whom are refugees and immigrants within the Middle Eastern community of Metro Detroit. ",$280,"$10,000",6,1month,2018-02-16
"","","","",,,2018-02-16
Run FOR Cops,"Each year, between 140 and 160 officers are killed in the line of duty and their families and co-workers are left to cope with the tragic loss. C.O.P.S. provides resources to help them rebuild their lives. I'm running in memory of Sean Collier. He was an MIT Officer who was gunned down by the boston marathon bombers while on duty.",$50,"$1,000",1,7days,2018-02-16
"","","","",,,2018-02-16
A Holiday Happening . . . in support of Pussy Riot,"To mark the 100th anniversary of the Russian Revolution (and Vivake's birthday), stand in solidarity with Pussy Riot, a modern day, post-punk feminist art collective who stuck two fingers up at the Russian system and suffered the consequences. ","$16,210","$12,500",55,2months,2018-02-16
Sexually Abused Children's Relief Endeavor,"  Raising $5000 will help about 2 families provide food, housing, transportation, counseling, utilities and other necessities for families impacted financially by the reporting of child sexual abuse. When an income provider is the abuser and that income disappears, the family faces an immediate financial crisis. It takes about 60-90 days before they can find support through other agencies. sacred's support is immediate. within 24 hours, the family's child advocate has a check in hand to pay for the family's immediate needs for the first 30-60 days after reporting. This year, sacred has helped 35 families with grants in excess of $70,000. The only limitation we have is how much money we can raise. The more we raise the more families we can help. Since no one is compensated at sacred, the majority of donations go directly to families in need. We need your support as families in need continue to seek our help. The physical nightmare for the child and the family ends when the crime is reported but the emotional nightmare goes on for years. Won't you help us ease the pain in those early days after reporting that their child has been sexually abused?  ","$3,350","$5,000",3,3months,2018-02-16
THE AFRICA SOCIETY OF THE NATIONAL SUMMIT ON AFRICA,"When you were in school, what do you remember learning about the continent of Africa?  If your answer is, “very little,” then you will understand the significance of our mission. Similarly, if you find that you are surprised by the lack of knowledge on Africa among your peers then you will appreciate the need to educate and advocate for Africa.   ","$7,450","$10,000",21,3months,2018-02-16
100 Club of Arizona,OUR STORY ,$430,"",7,3months,2018-02-16
Support A New Generation of Young Activists & Media Makers,"Our times demand that we create inspiring stories, engage in campaigns for social justice and make youth the producers and protagonists of their narratives. Global Action Project makes this happen by developing the leadership of low-income, new immigrant and TLGBQ youth to share their stories, create media, and take action.  ","$12,269","$10,000",174,3months,2018-02-16
24-Hour Marathon Stream Supporting The Electronic Frontier Foundation,"As our modern society continues to innovate and become dependent on new technologies, it's increasingly critical to ensure that individual civil liberties are protected and businesses have the freedom to innovate through fair competition. That's where the Electronic Frontier Foundation comes in. The EFF fights to protect access to developing technology, champion user privacy, fight illegal surveillance, and more, accomplishing this ""through impact litigation, policy analysis, grassroots activism, and technology development"". The EFF received a perfect score for Accountability & Transparency from Charity Navigator and an overall score higher than respected organizations such as the ACLU, UNICEF, and the American Red Cross.",$140,"$2,000",5,1month,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
We Can Create Change Beyond #GivingTuesday,"This year, the National LGBTQ Task Force is participating in #GivingTuesday, a global movement dedicated to giving. Last year the Task Force, along with more than more than 45,000 organizations in 98 countries, came together to celebrate #GivingTuesday and to raise much-needed funds to support local and national organizations! ","$46,940","$50,000",185,3months,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
Free Arts NYC Half 2018," Free Arts NYC empowers underserved youth through arts and mentoring programs to develop their creativity, confidence, and skills to succeed.  We strive to provide the highest quality programming, and measure our effectiveness with two evaluation systems all of which are proven to to contribute to long-term gains such as thriving, decreased risk-taking behaviors,
and increased academics. ","$2,670","",33,2months,2018-02-16
Queering the Census Beyond #GivingTuesday,"This year, the National LGBTQ Task Force is participating in #GivingTuesday, a global movement dedicated to giving. Last year the Task Force, along with more than more than 45,000 organizations in 98 countries, came together to celebrate #GivingTuesday and to raise much-needed funds to support local and national organizations! ","$1,508","$10,000",20,3months,2018-02-16
"","","","",,,2018-02-16
Ana an Ajay's Wedding Registry,"",$700,$200,2,6months,2018-02-16
"Water for Life: Help Build a Well in Togo, Africa","Less than five percent of the land remains forested in the country of Togo in West Africa. Togo's extreme deforestation is a result of wood extraction for fuel and logs, agricultural clearance, and infrastructure developments. Like other Sub-Saharan African countries, the majority of Togo households rely on wood fuel as a source of energy for cooking. Wood and charcoal account for more than 80% of the national household energy consumption. ","$5,295","$10,000",42,10days,2018-02-16
"","","","",,,2018-02-16
Kai’s 8th Birthday Fundraiser for the World Resources  Institute,"",$250,$200,7,1month,2018-02-16
"","","","",,,2018-02-16
Save Friends of the Rouge's Bug Monitoring Program,Friends of the Rouge recently learned that our funding partner has decided not to fund Friends of the Rouge's Benthic Macroinvertebrate Monitoring Program for 2018 due to a shift in their funding priorities.  ,"$6,661","$20,000",42,2months,2018-02-16
Trees 4 Kilimanjaro,KARIBU THE KILIMANJARO PROJECT,"$5,060","$1,000,000",64,2months,2018-02-16
Save threatened medicinal plants!,"This year we are thrilled to offer a unique end-of-year fundraiser by sharing the wonderful art of UpS member and botanical sanctuary steward, Shay Herring Clanton.","$12,470","",103,2months,2018-02-16
Northwest Minnesota Foundation,The Northwest Minnesota Foundation is excited to be a part of the Newman's Own Foundation Holiday Challenge!,$720,"",12,3months,2018-02-16
Felidae Conservation Fund - Scat Collection Campaign,"We are excited to join the Newman's Own Holiday Challenge and want to raise $45,000 to track Mountin Lions (aka pumas, cougars) in the San Francisco Bay area. ",$175,"$45,000",3,3months,2018-02-16
New York Sun Works: Growing a Greener Future,"The need for science, sustainability and climate education has never been greater.  We only have one world. Lets work together to protect it! ","$4,088","",67,3months,2018-02-16
Give.Restore.Enjoy.,"Your contribution will go the extra paddle length in helping us carry out our mission: assisting communities making the Rouge River fishable and paddlable, beating back the spread of invasive plants and animals, and educating Metro Detroit children about stewarding their backyard river.","$5,586","$20,000",70,3months,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
Tsavo Cheetah Truck ,"",$450,"$18,000",7,2months,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
Bella's Walk For The Water,"",$135,$300,4,9days,2018-02-16
Team SoCalHiker,"In 2013, The Heroes Project invited supporters to our local mountains to spend a day experiencing a small portion of the training we demand of our veterans (Team THP).  We expected a group of about 200 and hoped 20 or 30 would conquer the summit of Mt. Baldy… 5 years later, we have seen thousands of local supporters make the 6 mile trek to the top inspired and motivated by our heroes every step of the way.  Join us on June 3rd to meet our heroes, learn about their past and future expeditions, surround yourself with positivity, hope and light, and keep supporting our injured veterans.",$150,"",2,1hour,2018-02-16
RIDE WITH PURPOSE ASSOCIATION,"",$25,$500,1,5hours,2018-02-16
"Joseph Fournier - Youngstown, OH Sk8 to Elimin8 Cancer",Team up with Scott Hamilton and Turn Cancer Upside Down!,$100,"",3,2days,2018-02-16
"","","","",,,2018-02-16
Clean Water For Schools | For $10 sponsor 1 student to have Clean Water,Imagine trying to learn without clean running water. ,$175,"$15,000",5,2months,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
PerseVerance,"In 2013, The Heroes Project invited supporters to our local mountains to spend a day experiencing a small portion of the training we demand of our veterans (Team THP).  We expected a group of about 200 and hoped 20 or 30 would conquer the summit of Mt. Baldy… 5 years later, we have seen thousands of local supporters make the 6 mile trek to the top inspired and motivated by our heroes every step of the way.  Join us on June 3rd to meet our heroes, learn about their past and future expeditions, surround yourself with positivity, hope and light, and keep supporting our injured veterans.",$200,"",2,2hours,2018-02-16
Let's Build a Kansas Farm Sanctuary!,Our Mission:,$25,"$300,000",1,22hours,2018-02-16
Louise's Walk For the Water,"",$150,$900,2,6hours,2018-02-16
Endless Summer Rum - Crossing For A Cure,"On June 16th I will lead Team Endless Summer Rum on an epic 70 mile journey on stand up paddle boards (SUP) from Bimini in the Bahamas to Lake Worth, Florida. We will join an armada or paddlers and boats on The Crossing For A Cure to raise money for families battling Cystic Fibrosis.","$6,475","$25,000",14,25days,2018-02-16
Amani's walk for the water,"Every day the people of Burundi have to walk several miles to get water that's not even clean, and then walk back several miles while carrying their water. Just a donation of $30 can help give someone clean water and a better life. Our class of AGS Austin High freshman is working with the Gazelle Foundation to raise money to help people in Burundi get access to clean water. Please help my school and I to reach our goal and improves hundreds of lives, any donation helps. And please share this page to support the cause as well:)",$368,$500,7,8days,2018-02-16
"","","","",,,2018-02-16
Team World Vision OC 2018,Team World Vision runs so that children in Africa can have clean water & fullness of life. More children die from diseases caused by unsafe water and poor sanitation than almost any other cause -- more than AIDS and malaria combined.,"$41,848","$160,000",8,2months,2018-02-16
JasonCorkum,Last spring the parent advisory committee in the community of Gora Bantu in Ethiopia agreed to partner with Run for Water in fundraising for a clean water well  and a new school in their community. Their goal is to rasie 10% of the costs.  ,$95,$150 CAD,3,7hours,2018-02-16
The 2018 Dip Against Homelessness,"BronxWorks is organizing the fourth annual Dip Against Homelessness on February 17, in which BronxWorks staff, the Bronx Polar Bears and BronxNet staff will brave the frigid waters of the Long Island Sound to raise awareness about homelessness. ","$3,370","$5,000",89,1month,2018-02-16
Safe Water for Schools in Kenya,"","$11,271","",116,1year,2018-02-16
America's Paradise: From Darkness to Light - Puerto Rico,"On September 6th, Hurricane Irma devastated the islands of St. Thomas and St. John in the US Virgin Islands. Two weeks later, Hurricane Maria arrived to deliver a second blow to the USVI and ravaged the US territory of Puerto Rico. Soprano Laura Strickling, a resident of St. Thomas, evacuated by boat to Puerto Rico five days after Hurricane Irma and escaped to the US mainland ahead of Hurricane Maria. She brings her friends together to present a song recital to benefit the recovery efforts, and to help the citizens of America's paradise.",$25,"$2,000",1,11days,2018-02-16
2018 Chicago Marathon - Imerman Angels,"",$238,"$1,000",5,2months,2018-02-16
Water Wins for the World - Team Nicaragua,"Friends,",$50,"$5,000",1,4days,2018-02-16
BRING TRUMPETER SWANS BACK TO THE WILD!,"Help us nurture Trumpeter Swans, stewardship, and our school children in Teton Valley, Idaho! This exciting project will restore a nesting population of Trumpeter Swans in our high mountain valley, and bring conservation science programs to our public schools.   ",$515,"$10,000",2,14days,2018-02-16
Run for the 22,"","$1,805","$2,200",28,1month,2018-02-16
Hire Expert Hydrologist to testify against massive limerock mine - Corkscrew Plantation in DRGR,Hire expert hydrologist Dr. Gary Danemiller to give critical testimony calling for the protection of the Corkscrew Plantation property from a proposed limerock mining industrial operation. ,"$2,910","$15,000",41,2months,2018-02-16
"","","","",,,2018-02-16
Let's help ASAPROSAR to serve the poorest of the poor communities,"For the past four years, Worcester State University has had a faculty-led interdisciplinary Global Service Learning program to El Salvador during spring break, through the rural health organization, ASAPROSAR. See website: asaprosar.org ",$845,"$1,500",18,6days,2018-02-16
Ryen Becherer  Walk for the Water at Austin High,"",$60,$200,2,9days,2018-02-16
I'm Running the L.A. Marathon for Food & Water Action!,"  Our planet's in big trouble and I want to do something about it, one step at a time. Avoiding the worst of the climate crisis won't be easy, so I'm taking lots of steps....26.2 miles worth. I'm running the Los Angeles Marathon on March 18 to raise money for Food & Water Action's campaign to move Off Fossil Fuels Now!  
 And because a marathon is 26.2 miles, I'm attempting to raise $2620. I hope you will consider supporting me.
 Why running? If you had told me three years ago I was going to run a marathon I'd have thought you were nuts. I hadn't run at all since high school. But then my kids started cross country in 6th grade, and I couldn't let those little guys be faster than me, so I started running (I'm still faster than them but they're getting close).  
 Training for this marathon is a lot of work! Most of my runs start around 5:00-5:30 am. I get these in before the family wakes up. It is really peaceful out and gives me a chance to think about the day ahead. I run 5 days a week and I think my training will peak around 45 miles/week.  
 Running may sound like a lot of work, but the real work that needs to be done is in moving us off fossil fuels. I've been blessed to work at Food & Water Watch for nearly 10 years. During that time, our incredible team has banned fracking in New York, Maryland, and communities across the country, stopped pipelines and export facilities, and blocked some reall terrible industry backed bills.  
 This year our politcal arm - Food & Water Action - is working to elect climate champions at the state and federal level - people who will not only go toe to toe with Trump and climate deniers, bold also push for bold solutions that will actually address the problem.  
 We only have a limited amount of time to prevent the worst impcats of climate change - and many are already happening. What is the world going to be like when my kids Steven and Max and their friends are adults, let alone their children and future generations? I worry about this every day - and it's why I work at Food & Water Action and why I'm using this marathon to raise money to support this work. I hope you'll join me!  ","$2,160","$2,600",24,21days,2018-02-16
James' AGS Walk For The Water,"We are doing an all academy walk for the water to spread awarness of the water crisis all throughout Africa, and we are accepting donations to the Gilbert's Gazelle's Foundation. We aren't trying to impose you into donating, but keep in mind that only 30$ can give someone in Burundi clean water for a life.",$325,$100,6,9days,2018-02-16
Mamby Plunge 2018,"In 2017, a small group of React Presents staff plunged into the cold waters of Lake Michigan to raise money for initiatives important to the Chicago's Bronzeville community, the neighborhood adjacent to Oakwood Beach, home to Mamby on the Beach music festival, which happens on June 23 + 24, 2018. ",$50,"$10,000",2,23hours,2018-02-16
Hey Neighbor!,The 2nd Annual Denville Polar Plunge will be held at Cooks Pond in Denville. All proceeds from The Plunge go towards replacing the Gardner Field Playground!,$150,$25,5,19days,2018-02-16
Fox River Rats/Fleet 17,"",$250,"$5,000",5,3days,2018-02-16
2018 Secord Lake Skiers,"Anyone who knows me knows I am obsessed with waterskiing and boats.  Yes, still!  My obsession may have gotten worse in the past year as well; just ask my water ski friends (you know who you are).  I probably ask my husband to buy me a boat at least 10 times a day, all in jest, of course.  :) ","$3,560","$6,000",35,1month,2018-02-16
"","","","",,,2018-02-16
Keys to Success: JCLC 2018 Fundraiser,Every dollar counts and all conference proceeds go directly back to the ethnic affiliates.  Help us spread the word by sharing with your social media friends or by creating your own fundraising team!,"$3,510","$25,000",40,5months,2018-02-16
Help us Restore Lady Maryland's Original Deck,"Living Classrooms Foundation’s flagship and first “living classroom,” the pungy schooner Lady Maryland, was built by 100 students and shipwrights in 1986 as a hands-on educational project. She has since then served to connect thousands of inner-city students to the history, economics, and natural resources of the Chesapeake Bay and surrounding ecosystems.  This winter, Lady Maryland is replacing her original deck in order to serve future generations of students.  You can help!","$5,125","$30,000",3,1month,2018-02-16
OUT OF GEARS TEAM and the 2018 TSR Spring Classic,"Come ride or support OUT OF GEARS TEAM and the 2018 TSR Spring Classic, now in its sixth year. All the proceeds from this ride go exclusively to help provide developmentally disabled adults and children therapeutic horseback programs at Talbot Special Riders (TSR), a United Fund of Talbot County sponsored non-profit organization and in our 36th year of operation. ",$320,"$1,976",6,1month,2018-02-16
Lauren's Charity: Water Half Marathon Fundraiser ,"This March I'll be doing the United Airlines New York Half Marathon. I am not a runner. A few months ago running around a block was the worst thing in the world to me. (still kinda is) But if you know me, you know I make very large, ridiculous decisions spontaneously and then I have to do the thing I signed up for. (ie skydiving, solo Europe trip, etc) ",$560,"$1,000",11,22days,2018-02-16
"'Countless miles and smiles...Join me', Rue Maven's LA Marathon Campaign for World of Children","As a kid I never had to think about where my next meal was going to come from, I never had to think about where I could find water, I never had to think about how to pay for my education, I never had to think about where I would sleep…all I was responsible for was to be a kid. When I think of child poverty or any other suffering that a child or an adult could go through it breaks my heart! To be hopeless, vulnerable, powerless, voiceless…should not be a way of living. We should all have an opportunity to live life. As humans we all deserve to be equipped with the tools that will help us survive. When we take care of our children and teach them kindness and love we are doing more than that, we are teaching them how to be good global citizens. They are the future generation, and we need to plant seeds of hope, joy, happiness, love and many other positive attributes. The campaign is very dear to me because I have spent a good amount of years working as a nanny with children of different ages. In addition, I grew up in Zimbabwe, and there was a good amount of street kids (meaning homeless children), and it always put me in tears to know that there are kids forced to be adults. This campaign is small, but I hope the little we can do together as a team of kid heroes and advocates for kids will help raise awareness and relieve as many kids from poverty and bad environments. 
 ",$76,"$2,500",2,9days,2018-02-16
Tierra Blanca Mission Team 2018,"This February, I will be joining a mission team from a dear friend's church to travel to the remote, rural village of Tierra Blanca, Nicaragua through the nonprofit organization AMOS Health and Hope. AMOS improves the quality of health in rural communities by working alongside them in health, education, and development. ",$300,$800,2,16days,2018-02-16
Volunteering with Waves for Development - Camille,(Version française plus bas),$475,"$1,500",7,2months,2018-02-16
"","","","",,,2018-02-16
madison ridner - 2018 Denville Polar Plunge,The 2nd Annual Denville Polar Plunge will be held at Cooks Pond in Denville. All proceeds from The Plunge go towards replacing the Gardner Field Playground!,$325,$500,8,19days,2018-02-16
Safe Water for Schools in India,"In May of 2016, LifeStraw will initiate a safe water program for schools in Rajasthan, India with a distribution of 100 LifeStraw Community purifiers, reaching over 8,000 school children. Each purifier serves 75-100 school children.  Each lasts 3-5 years and is capable of filtering approximately 100,000 liters of water.","$7,521","",36,1year,2018-02-16
Sloan’s 9th Birthday,"",$650,$250,8,1month,2018-02-16
Catherine's Mission Trip to Nicaragua,"I will be attending a week long mission trip February 18-25, 2018 with Corner of Love Ministries which a non-profit organization that serves over 70 villages around San Ramon, Nicaragua. All the money that I fundraise will go towards my mission costs which includes meals, accommodations, and most importantly medicines for the villagers that I will be serving. Corner of Love has been serving in the San Ramon region for almost 20 years providing medical, dental, water, milk, and educational services. More information about Corner of Love maybe found at www.corneroflove.org.",$225,"$2,000",3,3months,2018-02-16
"","","","",,,2018-02-16
Max's Walk for Water,"The people of Burundi walk several miles every day in order to get water, most of the time it is contaminated. However, the AGS freshmen class at Austin High school is working with the Gazelle Foundation to help provide the people of Burundi with a clean water source that they only need to walk a few yards to get. Please help me reach my goal of $400 every dollar counts!!",$300,$400,7,8days,2018-02-16
Sam's Walk for the Water ,"This money goes straight to the Gazelle Foundation, who raise money for water for kids in Burundi. Our academy at our school of about 160 kids is participating to try and hit a goal of 15,000, and we are also participating in a walk for the water. During this, we will be walking 3 miles with a water jug on our head to represent what kids in Burundi have to go through every day. Just $30 can give somebody water for life, so please consider donating. Any amount helps.",$360,"$1,000",6,8days,2018-02-16
Mateo's Walk for the Water,"",$250,$400,7,8days,2018-02-16
Help Ben get to Ghana!,"Hello everyone! For anyone reading this who may not know me, my name is Ben Willows and I am a student at the University of Colorado Boulder studying Environmental Engineering. This summer, I will be traveling to the rural Northern Region of Ghana for three weeks as a part of the Saha Global Leadership Program! It is truly an honor to be accepted into this program, and I am thrilled to be a part of something much larger than myself. Saha Global is a nonprofit organization that implements clean water and solar power systems in rural villages across the world. Saha is responsible for 110 clean water businesses and 28 solar power businesses worldwide, most of which are lifelines for these communities. Saha is unique in their efforts in that the clean drinking water business in Ghana that I will help build and implement will be operated by local female entrepreneurs from the village! Chances are if you're reading this you have been fortunate enough, as I have, to always have a clean glass of water to drink, whenever you'd like. However, for billions of people worldwide, this is not the case. In the Northern Region of Ghana, 40% of the population does not have access to clean water. For lack of any other option, they are forced to drink fecally contaminated water to survive. This is why I was compelled to apply for this opportunity to help, something as fundamental to life as drinking water is something that no one should live without. I am seeking funding for this project to be able to provide water treatment materials, training, and support for these female entrepreneurs to implement these businesses and maintain them for decades, to ensure that everyone in their village will never drink contaminated water again. For more information about Saha, and where I will fit in as a Water Field Representative in Ghana this May, I invite you to please visit their website at sahaglobal.org. Thank you for your time in reading this! This has been a dream of mine for a very long time to help those who need it most, and I will not be able to fulfill it without your help. Any donation amount will help tremendously, and every last cent will go toward getting these good people the clean water that they need so badly. Please contact me at any time for any more information that I can provide at willows.benjamin@gmail.com Thank you! - Ben","$1,170","$3,500",19,26days,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
Ecole J.E. Lapointe School' Water Walk ,Why should YOU join the Walk for Water? ,$25,"$1,500 CAD",1,2days,2018-02-16
"Rae Brooks - Youngstown, OH Sk8 to Elimin8 Cancer",Team up with Scott Hamilton and Turn Cancer Upside Down!,$145,"",4,2months,2018-02-16
Abby Goes Back to Ghana!,"Hello everyone! My name is Abby Ismail and I'm currently a junior studying Civil Engineering and International Studies at Worcester Polytechnic Institute. During the summer of 2016, I was a Field Representative for Saha Global, where I was on a team of five that established a water treatment business run by local women in the village of Changbuni in northern Ghana. The photos above show Adamu, Salima, Salamatu, and Adishei, the women who run the water treatment business in Changbuni, as well as the dugout, the contaminated water source where the village previously retrieved all of its drinking water. Villages throughout northern Ghana rely on similar sources for drinking water, but Saha Global is trying to change that!","$1,000","$3,500",16,1month,2018-02-16
"","","","",,,2018-02-16
St. Francis of Assisi School Jog-a-thon Fundraiser,"Through Crowdrise the students will be able ask family and friends for donations for jogging at the St. Francis of Assisi School annual Jog-a-Thon. The website is simple and makes it easy to donate. This is a very fun afternoon for the entire student body. There will be lots of fun activities, music, and of course running/walking. This fundraiser, in just four years, has raised over $100,000. Using the Jog-A-Thon funds over the years, we have purchased: tablets and smart boards for classroom use, implemented an updated math curriculum, installed water bottle filler drinking fountains, built a gaga ball pit in front of school, and purchased a new bell system. With sponsorships from businesses and personal family donations we have been successful in meeting our goals the past four years. This should be another successful year for Miles for Mustangs! The entire St. Francis school community participates. Thank you for your support of Steven's catholic education as well as all other current and future St. Francis students!!!",$60,$250,1,2days,2018-02-16
Adriane Wentz,Team up with Scott Hamilton and Turn Cancer Upside Down!,$25,"",1,2days,2018-02-16
Natchez Trace Bike Ride for Haiti,"God's Promise President Tony Haines will cycle 344 miles on the Natchez Trace Parkway from Madison, MS to Nashville, TN from March 28 - 30, 2018! This solo cycling event is raising money to support the God's Promise missions of Evangelism, Medical Care, Clean Water, Education, Trade Skills Training, and Small Business Partnership/Development. ","$2,200","$50,000",15,1month,2018-02-16
Matt’s Mission Trip to Nicaragua!,"This year I have decided to take a big leap into the real world. As of January I have officially bought my ticket to the country of Nicaragua! There I will join a group from Bermuda on a medical mission trip! Even though I bought my ticket for April 7th there is still a heavy fee left to pay! First let me explain what this trip is and what I’ll be doing in this third world country. Corner of love is a non-profit organization that has teams from all over the world fly down for a week and serve in the villages Nicaragua. This week is dedicated to hosting clinics in the town of San Ramon and small villiages found in the mountains or disconnected from the main cities. These towns normally do not have access to clean water, medical care, or even a small convenience store. The clinic brings medication, clothing, and support to wherever they are hosted. The Nicaraguans that come to these clinics get to consult with a real RN and get the medications they need, but normally don’t have access too. This trip for me is going to be a new experience and I am exicted to partake in this wonderful opportunity to serve in this third world country!! The $1,250 pays for two med kits that Fly down with me, food, and housing fee. In these kits are medical supplies, clothing, and toiletries that are used in the clinics. Its a pricey fee for a well worthy cause. I am excited to share my journey once I return home, but in the mean time would appreciate any support!",$425,"$1,250",6,11days,2018-02-16
Aveda streets at southpoint earth month 2018,"",$390,"$5,000",7,1month,2018-02-16
"","","","",,,2018-02-16
TRI for the Chelly Foundation ,"Some of you may remember my efforts to raise money for The Chelly Foundation in November 2016 when I ran the NYC marathon and raised $5,000 (with your help-- thank you!) Others may know that, this year, I've set my sights on the South Beach Triathlon on April 15th, an Olympic distance triathlon, which includes a mile long ocean swim (which will be the biggest challenge for me, by far).",$155,"$5,000",4,6days,2018-02-16
